시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
대전광역시,동구,그린숲어린이집,국공립,정상,34675,대전광역시 동구 동부로10번길 55 삼정그린코아포레스트1단지 관리동,042-284-5500,042-284-5501,9,209,2,16,17,56,45,36.31845003652757,127.4583514399114,미운영,,2025-07-01,,,
대전광역시,동구,어진아이꿈어린이집,국공립,정상,34639,대전광역시 동구 계족로 65 어진마을아파트 관리동(인동),042-320-5558,070-8244-0021,5,95,0,10,13,30,30,36.32123984374622,127.44263235914046,미운영,,2025-07-01,,,
대전광역시,중구,선화하늘빛어린이집,국공립,정상,34830,대전광역시 중구 대종로594번길 52 ,042-252-1366,042-252-1386,6,130,0,13,17,45,42,37.566400593990686,126.97788834771147,미운영,,2025-07-01,,,
대전광역시,중구,해링턴꿈나무어린이집,국공립,정상,34853,대전광역시 중구 선화로 57 ,042-255-5784,--,6,101,2,16,17,38,36,36.328358808229126,127.41444817679988,미운영,,2025-07-01,,,
대전광역시,서구,둔산더샵미리별어린이집,국공립,정상,35307,대전광역시 서구 탄방로 132 둔산더샵엘리프1단지,042-721-0789,042-721-0799,5,177,1,12,19,56,55,37.566470,126.977963,미운영,,2025-06-09,,,
대전광역시,서구,둔산더샵나래별어린이집,국공립,정상,35308,대전광역시 서구 탄방로 131 둔산더샵엘리프2단지,042-531-7941,--,5,177,1,12,19,56,54,36.33863174610242,127.39936792796362,미운영,,2025-06-09,,,
대전광역시,서구,아이월드어린이집,민간,정상,35373,대전광역시 서구 관저로 84 관리동,042-545-7953,042-545-7953,5,129,1,8,3,47,1,36.29758935088259,127.33008763830298,미운영,,2025-06-02,,,
대전광역시,중구,중촌SK뷰어린이집,국공립,정상,34807,대전광역시 중구 중촌로 15 (SK뷰 아파트 관리동),042-221-6810,--,5,141,2,10,17,51,45,37.566470,126.977963,미운영,,2025-05-14,,,
대전광역시,중구,하늘채엘센트로어린이집,민간,정상,34819,대전광역시 중구 동서대로1327번길 102 (하늘채 엘센트로 아파트 관리동),042-221-7773,--,3,83,3,5,7,28,12,36.33358318799636,127.40364279963288,미운영,,2025-05-01,,,
대전광역시,서구,도마호반써밋어린이집,국공립,정상,35335,대전광역시 서구 도산로 79 도마호반써밋그랜드센트럴 관리동,042-345-0081,--,5,163,3,14,21,53,52,37.566470,126.977963,미운영,,2025-04-09,,,
대전광역시,동구,리더스행복어린이집,국공립,정상,34684,"대전광역시 동구 안샘로14번길 7 천동, 리더스시티5BL 관리동",042-710-7904,--,6,192,2,14,20,70,64,36.31795180210353,127.44713765021065,미운영,,2025-03-01,,,
대전광역시,동구,참사랑어린이집,국공립,정상,34524,대전광역시 동구 새울로 147-16 ,042-283-5863,042-283-5862,6,250,1,11,23,92,56,36.33186772910824,127.46323871951257,운영,https://blog.naver.com/truelove2835863/224060575481,2025-03-01,,,
대전광역시,동구,한밭영재어린이집,국공립,정상,34569,대전광역시 동구 대전로 935 107동 103호(한밭자이아파트),042-369-5071,--,4,66,0,5,8,20,20,37.566470,126.977963,미운영,,2025-03-01,,,
대전광역시,중구,누리봄어린이집,국공립,정상,34875,"대전광역시 중구 수침로 138 110동 102호(태평동, 유등마을아파트)",042-535-2033,--,4,71,0,5,11,20,19,36.3318405948627,127.39825290620442,미운영,,2025-03-01,,,
대전광역시,서구,예그랑어린이집,국공립,정상,35372,대전광역시 서구 관저로 83 213동 104호,042-543-6007,042-543-6007,4,55,0,5,12,20,19,37.566470,126.977963,미운영,,2025-03-01,,,
대전광역시,유성구,노은킨더어린이집,국공립,정상,34145,대전광역시 유성구 왕가봉로 23 1105동 103호,042-477-4577,--,4,92,2,5,10,20,18,36.36513661139762,127.3144528883698,미운영,,2025-03-01,,,
대전광역시,대덕구,덕암어린이집,국공립,정상,34330,대전광역시 대덕구 덕암북로22번길 77 ,042-933-7599,--,10,345,2,14,20,99,68,36.44392697212741,127.42214457240735,운영,,2025-03-01,,,
대전광역시,동구,코레일대전충남어린이집,직장,정상,34626,"대전광역시 동구 중앙로 215 대전역 통합사무소 1,2층",042-224-7179,--,4,210,1,20,8,70,13,36.33372347726306,127.43276512862082,미운영,,2025-02-21,,,
대전광역시,중구,상아어린이집,가정,정상,35082,대전광역시 중구 안영로 68 ,042-335-3321,000-0000-0000,5,64,1,6,6,20,10,36.29514371276876,127.38334358193009,미운영,,2025-02-21,,,
대전광역시,동구,서로봄어린이집,가정,정상,34684,대전광역시 동구 안샘로14번길 7 502동 103호(천동 리더스시티5BL아파트),042-282-6286,--,5,101,0,6,8,20,20,36.317415319051165,127.4460071032625,미운영,,2025-02-18,,,
대전광역시,중구,모아엘가어린이집,민간,정상,34816,"대전광역시 중구 목동로22번길 45 (목동, 모아엘가그랑데 아파트)",042-222-6669,0504-092-7342,4,65,0,8,6,23,11,36.334827532593614,127.40972089149301,미운영,,2025-02-07,,,
대전광역시,유성구,해랑숲어린이집,국공립,정상,34073,대전광역시 유성구 지족로 240 관리동 어린이집,042-825-7908,--,7,133,1,12,13,48,28,36.38539098822462,127.30469306151753,미운영,,2025-01-01,,,
대전광역시,대덕구,누림어린이집,국공립,정상,34399,"대전광역시 대덕구 동춘당로 160 102동 101호(법동, 삼익소월아파트)",042-635-4451,042-635-4452,4,56,2,8,10,20,19,36.369226436947415,127.43366368252158,운영,,2025-01-01,,,
대전광역시,동구,꼬마별어린이집,국공립,정상,34640,"대전광역시 동구 계족로 137 103-104(대동, 휴먼시아)",042-283-7799,042-283-7798,4,66,0,5,10,20,17,36.32722460427417,127.4423766430757,미운영,,2024-12-01,,,
대전광역시,중구,성심당직장어린이집,직장,정상,34925,대전광역시 중구 대흥로157번길 26 대흥동,042-322-3657,042-322-3655,4,131,1,15,10,40,8,36.32575086977258,127.42886212957957,미운영,,2024-12-01,,,
대전광역시,중구,새솔어린이집,국공립,정상,34859,"대전광역시 중구 선화로22번길 25 용두동, 미르마을A",042-345-5369,042-222-4311,4,69,0,7,9,24,17,36.325769603062966,127.41331242909826,미운영,,2024-12-01,,,
대전광역시,중구,올리브힐어린이집,국공립,정상,34810,"대전광역시 중구 목동로 70 목동, 올리브힐A",042-242-5522,--,4,128,1,7,17,39,35,36.33739811975651,127.40708896174687,운영,,2024-12-01,,,
대전광역시,동구,리틀엔젤어린이집,국공립,정상,34675,대전광역시 동구 새울로 19 삼정그린코아포레스트2단지아파트 관리동,042-383-9499,--,4,74,0,8,8,26,9,36.32068722995926,127.46244034885756,미운영,,2024-11-01,,,
대전광역시,중구,하늘채스카이앤어린이집,국공립,정상,34829,"대전광역시 중구 대종로594번길 51 선화동, 하늘채스카이앤",042-252-9577,--,5,142,1,12,16,51,47,37.566470,126.977963,미운영,,2024-11-01,,,
대전광역시,대덕구,송촌어린이집,국공립,정상,34400,대전광역시 대덕구 동춘당로114번길 47 선비마을2단지아파트 내 (송촌동),042-637-0133,--,5,96,1,7,11,35,26,36.36809511738445,127.43930961764883,운영,,2024-10-01,,,
대전광역시,동구,담쟁이어린이집,민간,휴지,34580,대전광역시 동구 성남로 16-1 ,042-633-0456,--,8,475,1,11,0,30,0,37.566470,126.977963,운영,,2024-09-30,2026-04-02,2026-12-31,
대전광역시,동구,하늘채리버뷰어린이집,국공립,정상,34697,"대전광역시 동구 대전로 357 (대성동, 은어송하늘채리버뷰아파트 관리동)",042-271-2227,--,7,188,1,16,23,56,56,36.297581023401534,127.45893068444995,미운영,,2024-09-02,,,
대전광역시,중구,도담숲어린이집,민간,정상,34875,대전광역시 중구 수침로 138 태평동,042-537-5522,042-721-5521,5,99,0,5,9,34,27,36.33060314242088,127.39910419802239,미운영,,2024-09-01,,,
대전광역시,유성구,호반별하어린이집,국공립,정상,34040,대전광역시 유성구 용산1로 99 호반써밋4단지,042-364-7942,042-364-7942,4,88,1,11,13,33,32,37.566470,126.977963,미운영,,2024-09-01,,,
대전광역시,유성구,소중한호반어린이집,국공립,정상,34040,대전광역시 유성구 용성로 21 ,042-931-4279,042-931-4279,5,148,1,20,19,56,44,36.42015774405365,127.32614826574267,미운영,,2024-09-01,,,
대전광역시,동구,리더스어린이집,국공립,정상,34683,대전광역시 동구 안샘로 11 리더스시티4블럭아파트 관리동,042-328-1238,--,8,222,4,17,19,72,56,36.31852816693891,127.44422058076181,운영,,2024-08-28,,,
대전광역시,유성구,전력연구원직장어린이집,직장,정상,34056,대전광역시 유성구 문지로 105 (한국전력연구원),042-864-5110,--,8,370,1,44,26,105,59,36.39359386567548,127.39541322720322,미운영,https://www.puruni.com/kepri,2024-08-28,,,
대전광역시,동구,갤러리휴리움 솔로몬키즈어린이집,국공립,정상,34557,"대전광역시 동구 한남로67번길 193 홍도동, 갤러리휴리움아파트 관리동",042-721-3256,--,5,77,0,8,8,28,19,36.3453978753777,127.42658874552727,미운영,,2024-08-01,,,
대전광역시,유성구,아이뜰어린이집,국공립,정상,34010,대전광역시 유성구 구즉로 16 ,042-933-7455,042-935-7455,4,107,1,8,13,40,40,36.430031468688846,127.38608552585067,미운영,,2024-08-01,,,
대전광역시,동구,새들뫼키움어린이집,국공립,정상,34640,대전광역시 동구 계족로 137 대신새들뫼휴먼시아1단지아파트 관리동,042-285-2100,--,5,120,1,6,12,36,31,36.32738877695741,127.44245553046436,운영,,2024-07-01,,,
대전광역시,동구,신흥정원어린이집,국공립,정상,34669,대전광역시 동구 옥천로 38 신흥마을아파트 관리동,042-273-5512,--,4,100,1,5,11,23,23,36.32052000638196,127.44415671525115,미운영,,2024-07-01,,,
대전광역시,중구,해모로어린이집,국공립,정상,34850,"대전광역시 중구 선화서로 85 선화동, 대전해모로더센트라",042-383-9911,042-383-9911,4,104,0,10,16,38,37,36.32912671207039,127.41649315631636,미운영,,2024-07-01,,,
대전광역시,유성구,장대푸르지오어린이집,국공립,정상,34164,대전광역시 유성구 장대로71번길 34 관리동 어린이집,042-823-7959,042-823-7954,4,80,0,8,9,30,21,36.36124046872253,127.33223643406534,미운영,,2024-07-01,,,
대전광역시,유성구,그린별어린이집,국공립,정상,34070,대전광역시 유성구 지족북로 33 ,042-824-0306,--,5,132,1,7,19,50,40,36.38823647510219,127.29933189837328,미운영,,2024-07-01,,,
대전광역시,대덕구,동일스위트프라임어린이집,국공립,정상,34307,"대전광역시 대덕구 대청로 53 (신탄진동, 동일스위트리버스카이 2단지 관리동)",042-721-8882,--,4,210,1,8,15,50,46,36.454361009716905,127.43259774546729,미운영,,2024-06-01,,,
대전광역시,대덕구,대덕브라운스톤어린이집,국공립,정상,34347,"대전광역시 대덕구 신탄진로218번길 20 104동 보육시설(와동, 대덕브라운스톤아파트)",042-626-4662,0505-007-4662,5,182,1,10,16,67,42,36.39837734961492,127.42604763678153,미운영,,2024-06-01,,,
대전광역시,동구,갤러리휴리움 솔로몬키즈 어린이집,민간,폐지,34557,"대전광역시 동구 한남로67번길 193 (홍도동, 다우갤러리휴리움 관리동)",042-721-3256,--,5,77,0,8,0,28,0,36.345245901248795,127.42561320125401,미운영,,2024-03-27,,,2024-08-01
대전광역시,서구,아이자람어린이집,국공립,정상,35228,"대전광역시 서구 둔산로 15 110동 103호 (둔산동, 향촌아파트)",042-488-1486,--,4,62,0,5,10,20,18,36.35410233593467,127.37585612178633,미운영,,2024-03-01,,,
대전광역시,서구,도안예미지어린이집,국공립,정상,35350,"대전광역시 서구 도안북로 125 (도안동, 금성백조예미지아파트 관리동)",042-825-5666,042-825-5666,4,106,0,13,17,39,39,36.33136671285052,127.34369689349025,미운영,,2024-03-01,,,
대전광역시,서구,구슬어린이집,국공립,정상,35297,"대전광역시 서구 가장로 106 110동 104호 (가장동, 삼성래미안아파트)",042-528-5252,042-528-5252,4,75,0,5,10,20,20,36.33295159590572,127.3850991705847,미운영,,2024-03-01,,,
대전광역시,유성구,힐스테이트어린이집,국공립,정상,34192,대전광역시 유성구 도안동로 422 관리동 어린이집,042-822-3041,--,4,220,1,12,15,55,42,36.34227692515475,127.34902620682153,미운영,,2024-03-01,,,
대전광역시,유성구,신영어린이집,국공립,정상,34209,"대전광역시 유성구 학하남로 10 211동 104호(계산동, 오투그란데 미학)",010-8568-3362,--,4,85,0,5,9,20,17,36.34366098483859,127.30246405277606,미운영,,2024-03-01,,,
대전광역시,대덕구,아이뜰어린이집,국공립,정상,34304,"대전광역시 대덕구 대덕대로 1555 109동 101호(석봉동, 금강엑슬루타워)",042-936-7946,--,4,63,0,5,13,20,20,36.45050715008894,127.42165874512447,미운영,,2024-03-01,,,
대전광역시,동구,고운하이플러스어린이집,국공립,정상,34527,대전광역시 동구 동서대로1754번길 60 고운하이플러스아파트 관리동,042-621-5001,042-621-5001,5,98,0,23,14,35,32,36.35002151427579,127.44555801376893,미운영,,2024-02-12,,,
대전광역시,동구,해담어린이집,국공립,정상,34681,대전광역시 동구 은어송로 117 관리동 1 층,042-286-9787,--,4,64,0,5,8,22,12,36.31154689519725,127.4607272797831,운영,,2024-02-01,,,
대전광역시,동구,펜타뷰라온어린이집,국공립,정상,34658,대전광역시 동구 계족로140번길 33 대동펜타뷰아파트 관리동,042-271-3222,--,5,104,0,5,16,34,30,36.32680621447942,127.44583787589502,미운영,,2024-02-01,,,
대전광역시,유성구,호반써밋어린이집,국공립,정상,34040,대전광역시 유성구 용성로 20 호반써밋 어린이집,042-934-1004,042-934-6594,5,157,0,16,14,58,56,36.41600998532412,127.39005231376687,미운영,,2023-07-10,,,
대전광역시,유성구,호반하랑뜰어린이집,국공립,정상,34040,대전광역시 유성구 용산1로 83 관리동 어린이집,042-823-8799,--,4,119,0,10,15,43,41,36.414821480299736,127.39521976007816,미운영,,2023-07-10,,,
대전광역시,유성구,리틀써밋어린이집,가정,정상,34040,"대전광역시 유성구 용성로 20 109동 102호(용산동, 호반써밋그랜드파크아파트)",042-369-3511,042-369-3511,4,65,0,5,8,20,20,36.41589163342086,127.39041966204896,미운영,,2023-06-27,,,
대전광역시,서구,푸른나래어린이집,협동,정상,35210,"대전광역시 서구 월평동로 83 110동 101호 (월평동, 다모아아파트)",042-710-7277,070-7543-1553,3,51,1,0,7,19,18,36.36092041214348,127.3632484637127,운영,,2023-06-13,,,
대전광역시,동구,키즈야드어린이집,국공립,정상,34594,대전광역시 동구 가양로56번길 13 ,042-635-9090,--,7,249,1,9,12,67,28,36.34175455457292,127.44278183880951,운영,,2023-05-01,,,
대전광역시,중구,더샵리슈빌어린이집,국공립,정상,34847,대전광역시 중구 선화서로 115 ,042-242-1007,042-242-1006,5,151,4,16,17,55,52,36.3331013722621,127.41311169040667,미운영,,2023-03-02,,,
대전광역시,중구,자이킨더어린이집,국공립,정상,34933,대전광역시 중구 충무로107번길 100 센트럴자이1단지,042-223-7708,042-223-7708,7,174,0,8,12,40,40,37.566470,126.977963,미운영,,2023-03-02,,,
대전광역시,서구,캥거루어린이집,국공립,정상,35297,"대전광역시 서구 가장로 107 209동 105호 (가장동, 삼성래미안아파트)",042-535-5759,042-522-5707,4,75,0,5,9,20,19,36.334290607092775,127.38765080783281,미운영,https://cafe.naver.com/ikangaroo,2023-03-01,,,
대전광역시,서구,휴리움어린이집,국공립,정상,35276,"대전광역시 서구 신갈마로 186 관리동 (갈마동, 갤러리휴리움아파트)",042-522-3350,--,4,77,0,8,10,28,25,36.350571564965215,127.36875943537846,미운영,,2023-03-01,,,
대전광역시,서구,은뜰어린이집,국공립,정상,35211,"대전광역시 서구 월평북로 13 관리동 2층 (월평동, 은뜰마을)",042-484-8888,--,5,172,0,13,17,45,43,36.36310211681881,127.37030602715636,운영,,2023-03-01,,,
대전광역시,유성구,예다음어린이집,국공립,정상,34088,대전광역시 유성구 지족로 92 관리동 어린이집,042-825-0061,--,5,85,0,8,12,30,29,36.374414191986126,127.30577577058395,미운영,,2023-03-01,,,
대전광역시,대덕구,꿈사랑어린이집,국공립,정상,34401,"대전광역시 대덕구 동춘당로114번길 60 304동 102호(송촌동, 선비마을3단지아파트)",042-626-4151,--,4,84,0,4,11,20,20,36.36753973035029,127.4408497697191,운영,,2023-03-01,,,
대전광역시,유성구,둔곡어린이집,가정,정상,34002,"대전광역시 유성구 과학성장로 33 205동 101호(둔곡동, 서한이다음2단지아파트)",042-931-8433,042-935-4833,4,70,0,5,10,20,20,36.452953786238425,127.36194811343913,미운영,,2023-02-16,,,
대전광역시,유성구,가온어린이집,국공립,정상,34002,"대전광역시 유성구 과학성장로 77 관리동, 어린이집",042-931-7942,042-932-7943,5,218,0,15,15,48,39,36.45478962001264,127.3620403081392,미운영,,2023-02-09,,,
대전광역시,유성구,꿈누리어린이집,국공립,정상,34002,대전광역시 유성구 과학성장로 33 관리동 어린이집,042-934-5677,--,5,161,0,12,14,41,37,36.453212206323705,127.36216683759297,미운영,,2023-02-09,,,
대전광역시,유성구,둔곡우미린어린이집,국공립,정상,34002,대전광역시 유성구 과학성장로 80 관리동 어린이집,042-936-7788,--,4,175,0,20,16,48,43,36.454418041689955,127.36568633851896,미운영,,2023-02-09,,,
대전광역시,동구,e편한세상어린이집,국공립,정상,34703,대전광역시 동구 산내로 1330 e편한세상아파트 관리 동,042-285-0222,042-285-0222,4,96,0,7,12,35,32,36.28278758398539,127.46951840398796,운영,,2023-01-02,,,
대전광역시,유성구,다람어린이집,국공립,정상,34213,대전광역시 유성구 학하남로90번길 76 관리동 어린이집,042-822-2023,042-823-2024,5,167,0,10,16,44,36,36.334639123678144,127.30817088219277,미운영,,2022-12-07,,,
대전광역시,동구,하늘채어린이집,국공립,정상,34696,대전광역시 동구 동구청로 35 은어송2단지아파트 관리동 1층 (대성동),042-282-3366,042-272-3365,6,241,1,8,16,60,54,37.566470,126.977963,운영,,2022-12-01,,,
대전광역시,서구,포레나어린이집,국공립,정상,35402,"대전광역시 서구 도산로 8 (도마동, 도마e편한세상 포레나 관리동)",042-581-6868,042-581-5858,5,292,1,25,18,71,60,36.312979842584156,127.38420476858877,미운영,,2022-09-30,,,
대전광역시,유성구,대광로제비앙어린이집,국공립,정상,34006,"대전광역시 유성구 와룡로 206 (봉산동, 대광로제비앙아파트)",042-933-3158,--,6,262,2,24,18,48,41,36.442319161990575,127.38317956635933,미운영,,2022-07-06,,,
대전광역시,동구,이솝어린이집,국공립,정상,34701,대전광역시 동구 산내로 1375 104동 1층(낭월동),042-272-5279,--,3,159,1,11,10,30,24,36.2853718,127.4647376,미운영,,2022-07-01,,,
대전광역시,중구,푸르지오다빛어린이집,국공립,정상,34802,대전광역시 중구 대전천서로 709 중촌역푸르지오센터파크 관리동,042-253-3577,--,4,168,1,16,15,46,44,36.34567955744422,127.40851616867175,미운영,,2022-07-01,,,
대전광역시,유성구,로제비앙어린이집,가정,정상,34006,"대전광역시 유성구 와룡로 206 103동 102호(봉산동,로제비앙아파트)",042-361-7342,0504-092-7342,3,84,0,4,7,20,15,36.44228445848545,127.3841636900446,미운영,,2022-06-14,,,
대전광역시,동구,SK뷰어린이집,국공립,정상,34642,대전광역시 동구 충무로 255 신흥SK뷰아파트 내,042-283-5500,--,6,358,1,22,21,60,55,36.32519690834236,127.44208537120018,미운영,,2022-05-19,,,
대전광역시,중구,드림키즈어린이집,협동,정상,34964,대전광역시 중구 계룡로 938 ,042-252-7947,042-254-7947,6,329,1,23,14,99,71,36.319113549159056,127.41615591183581,운영,https://www.instagram.com/dreamkids_daejeon,2022-03-29,,,
대전광역시,중구,보라어린이집,국공립,정상,34895,대전광역시 중구 평촌로 111 태평아파트 관리사무소 1층,042-537-7010,--,4,174,1,5,12,34,28,36.32367391172154,127.39953102944483,운영,,2022-03-02,,,
대전광역시,동구,효촌마을어린이집,국공립,정상,34583,대전광역시 동구 계족로368번길 11 효촌마을아파트 관리동 1층,042-627-6060,042-349-6060,5,92,1,15,14,33,26,36.34582879818436,127.43454761593986,운영,,2022-03-01,,,
대전광역시,서구,트리풀시티한빛어린이집,국공립,정상,35353,대전광역시 서구 도안동로 234 트리풀시티 레이크포레,042-541-7145,042-541-7147,6,172,2,23,18,61,54,36.3259999,127.3509287,미운영,,2022-03-01,,,
대전광역시,서구,호수어린이집,국공립,정상,35353,대전광역시 서구 도안동로 182-20 대전호수초등학교,042-546-3088,--,5,133,1,12,14,48,43,36.3259999,127.3509287,미운영,,2022-03-01,,,
대전광역시,서구,베르디움어린이집,국공립,정상,35356,대전광역시 서구 원도안로 100 ,042-542-4864,042-542-4864,6,142,1,7,11,50,31,36.31348193392189,127.34827424191519,미운영,,2022-03-01,,,
대전광역시,서구,꼬마정원어린이집,국공립,정상,35381,대전광역시 서구 관저로 184 관리동,042-361-3379,042-365-3380,4,75,0,5,13,27,24,36.29781112202103,127.34333949489037,운영,,2022-03-01,,,
대전광역시,서구,델타샌드어린이집,국공립,정상,35314,대전광역시 서구 갈마로 262 관리동 1층,042-527-0105,050-4483-5992,4,188,6,8,16,44,42,36.3332792,127.3816934,운영,,2022-03-01,,,
대전광역시,서구,꿈동산어린이집,국공립,정상,35376,대전광역시 서구 관저서로 20 관리동 1층,042-541-0017,042-541-0017,4,158,1,8,16,35,34,36.2946149,127.3318144,미운영,,2022-03-01,,,
대전광역시,서구,샘머리아이자람어린이집,국공립,정상,35205,대전광역시 서구 청사로 281 215동 101호,042-485-1248,--,4,66,0,5,11,20,20,36.361795711628844,127.39484004870807,미운영,,2022-03-01,,,
대전광역시,서구,도담이든어린이집,국공립,정상,35351,대전광역시 서구 도안북로 136 ,042-823-2235,--,4,110,0,13,14,40,40,36.32876500050729,127.34275828724976,미운영,,2022-03-01,,,
대전광역시,유성구,아이파크시티어린이집,국공립,정상,34201,"대전광역시 유성구 상대복용로29번길 52 관리동(상대동, 대전아이파크시티1단지아파트)",042-825-0700,--,5,165,1,20,19,58,50,36.33711127606892,127.33068036149073,미운영,,2022-03-01,,,
대전광역시,유성구,아이파크샤인어린이집,국공립,정상,34201,"대전광역시 유성구 상대복용로29번길 51 관리동(상대동, 대전아이파크시티2단지아파트)",042-822-3612,042-822-3612,5,165,1,25,19,58,50,36.362216,127.3561329,미운영,,2022-03-01,,,
대전광역시,대덕구,하나몬테소리어린이집,국공립,정상,34401,"대전광역시 대덕구 동춘당로114번길 60 308동 106호(송촌동, 선비마을3단지아파트)",042-637-6380,--,4,91,1,5,13,20,20,36.3677538,127.4410206,운영,,2022-03-01,,,
